node_id,node_name,field_ordinal,field_alias,expression,source_table,source_field,is_computed
16,ВТ_ВидыПаспортов,0,ВидДокумента,ВидыДокументовФизическихЛиц.Ссылка,ВидыДокументовФизическихЛиц,Ссылка,false
17,ВТ_ДокументыСторно,0,ДокументСторно,уп_ОперацияНПО.Ссылка,уп_ОперацияНПО,Ссылка,false
18,Часть_1,0,ДокументСторно,уп_ОперацияНПО.Ссылка,уп_ОперацияНПО,Ссылка,false
19,Часть_2,0,Ссылка,уп_ВозвратПенсий.Ссылка,уп_ВозвратПенсий,Ссылка,false
20,Часть_3,0,Ссылка,уп_ВозвратПрочихНачисленийНПО.Ссылка,уп_ВозвратПрочихНачисленийНПО,Ссылка,false
21,Часть_4,0,Ссылка,ДанныеДокумента.Ссылка,ДанныеДокумента,Ссылка,false
22,ВТ_ПереводыИзРегистров_ВидыДвижений,0,Ссылка,ВидыДвижений.Ссылка,ВидыДвижений,Ссылка,false
23,ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы,0,Ссылка,ВидыДвижений.Ссылка,ВидыДвижений,Ссылка,false
24,ВТ_ПенсионныеСчета_ПР,0,ПенсионныйСчет,Подзапрос.ПенсионныйСчет,Подзапрос,ПенсионныйСчет,false
25,Подзапрос_1,0,ТипРезерва,ВТ_ТипыРезервов.ТипРезерва,ВТ_ТипыРезервов,ТипРезерва,false
26,Подзапрос_2,0,ТипРезерва,ВТ_ТипыРезервов.ТипРезерва,ВТ_ТипыРезервов,ТипРезерва,false
27,Подзапрос_3,0,ТипРезерва,ВТ_ТипыРезервов.ТипРезерва,ВТ_ТипыРезервов,ТипРезерва,false
28,Подзапрос_4,0,ТипРезерва,ВТ_ТипыРезервов.ТипРезерва,ВТ_ТипыРезервов,ТипРезерва,false
29,Подзапрос_5,0,ТипРезерва,ВТ_ТипыРезервов.ТипРезерва,ВТ_ТипыРезервов,ТипРезерва,false
30,Подзапрос_6,0,ТипРезерва,ВТ_ТипыРезервов.ТипРезерва,ВТ_ТипыРезервов,ТипРезерва,false
31,Подзапрос,0,ПенсионныйСчет,уп_РезервыОстатки.НомерСчета,уп_РезервыОстатки,НомерСчета,false
32,Часть_1,0,ПенсионныйСчет,уп_РезервыОстатки.НомерСчета,уп_РезервыОстатки,НомерСчета,false
33,Часть_2,0,НомерСчета,уп_РезервыОбороты.НомерСчета,уп_РезервыОбороты,НомерСчета,false
34,Часть_3,0,ПенсионныйСчет,уп_ВозвратыПрочихНачисленийНПООстатки.НомерСчета,уп_ВозвратыПрочихНачисленийНПООстатки,НомерСчета,false
35,Часть_4,0,НомерСчета,уп_ВозвратыПрочихНачисленийНПООбороты.НомерСчета,уп_ВозвратыПрочихНачисленийНПООбороты,НомерСчета,false
36,Часть_5,0,ПенсионныйСчет,уп_ВозвратыПенсийНПООстатки.НомерСчета,уп_ВозвратыПенсийНПООстатки,НомерСчета,false
37,Часть_6,0,НомерСчета,уп_ВозвратыПенсийНПООбороты.НомерСчета,уп_ВозвратыПенсийНПООбороты,НомерСчета,false
38,Часть_7,0,НомерСчета,уп_НачисленияПенсийОбороты.НомерСчета,уп_НачисленияПенсийОбороты,НомерСчета,false
39,Часть_8,0,НомерСчета,уп_ПрочиеНачисленияОбороты.НомерСчета,уп_ПрочиеНачисленияОбороты,НомерСчета,false
40,Часть_9,0,ПенсионныйДоговор,уп_СостоянияДоговораСрезПоследних.ПенсионныйДоговор.ПенсионныйСчет,уп_СостоянияДоговораСрезПоследних,ПенсионныйДоговор,false
41,Часть_10,0,НомерСчета,СостоянияПС.НомерСчета,СостоянияПС,НомерСчета,false
